solve_id,solve_type,method,warm_start,min_search_proportion,threshold_proportion,remove_constraints,zero_slack_likelihood,sub_solve_id,n,p,q,cut_type,cut_value,cuts_sought,cuts_added,cuts_removed,search_proportion_used,current_threshold,variables,constraints,cpu_time,dual_0_constraints,dual_0_with_slack,dual_0_no_slack
244,once,auto,cold,1,,False,0,0,120,0.5,0.2,fixed,1000,1123360,1123360,0,1,,7140,1123361,483.0,0,0,0
244,iterative,auto,warm,1,,False,0,0,120,0.5,0.2,fixed,1000,100,100,0,1,,7140,101,0.0,0,0,0
244,iterative,auto,warm,1,,False,0,1,120,0.5,0.2,fixed,1000,1000,1000,0,1,,7140,1101,0.03125,0,0,0
244,iterative,auto,warm,1,,False,0,2,120,0.5,0.2,fixed,1000,1000,1000,0,1,,7140,2101,0.03125,0,0,0
244,iterative,auto,warm,1,,False,0,3,120,0.5,0.2,fixed,1000,1000,1000,0,1,,7140,3101,0.046875,0,0,0
244,iterative,auto,warm,1,,False,0,4,120,0.5,0.2,fixed,1000,1000,1000,0,1,,7140,4101,0.046875,0,0,0
244,iterative,auto,warm,1,,False,0,5,120,0.5,0.2,fixed,1000,1000,1000,0,1,,7140,5101,1.125,0,0,0
244,iterative,auto,warm,1,,False,0,6,120,0.5,0.2,fixed,1000,1000,1000,0,1,,7140,6101,6.8125,0,0,0
244,iterative,auto,warm,1,,False,0,7,120,0.5,0.2,fixed,1000,1000,1000,0,1,,7140,7101,16.390625,0,0,0
244,iterative,auto,warm,1,,False,0,8,120,0.5,0.2,fixed,1000,1000,1000,0,1,,7140,8101,29.609375,0,0,0
244,iterative,auto,warm,1,,False,0,9,120,0.5,0.2,fixed,1000,1000,1000,0,1,,7140,9101,42.796875,0,0,0
244,iterative,auto,warm,1,,False,0,10,120,0.5,0.2,fixed,1000,1000,1000,0,1,,7140,10101,64.703125,0,0,0
244,iterative,auto,warm,1,,False,0,11,120,0.5,0.2,fixed,1000,1000,1000,0,1,,7140,11101,86.59375,0,0,0
244,iterative,auto,warm,1,,False,0,12,120,0.5,0.2,fixed,1000,1000,1000,0,1,,7140,12101,118.640625,0,0,0
244,iterative,auto,warm,1,,False,0,13,120,0.5,0.2,fixed,1000,1000,1000,0,1,,7140,13101,132.4375,0,0,0
244,iterative,auto,warm,1,,False,0,14,120,0.5,0.2,fixed,1000,1000,1000,0,1,,7140,14101,143.921875,0,0,0
244,iterative,auto,warm,1,,False,0,15,120,0.5,0.2,fixed,1000,1000,1000,0,1,,7140,15101,133.625,0,0,0
244,iterative,auto,warm,1,,False,0,16,120,0.5,0.2,fixed,1000,1000,1000,0,1,,7140,16101,132.109375,0,0,0
244,iterative,auto,warm,1,,False,0,17,120,0.5,0.2,fixed,1000,1000,1000,0,1,,7140,17101,43.640625,0,0,0
244,iterative,auto,warm,1,,False,0,18,120,0.5,0.2,fixed,1000,1000,118,0,1,,7140,17219,27.296875,0,0,0
244,iterative,auto,warm,1,,False,0,19,120,0.5,0.2,fixed,1000,1000,153,0,1,,7140,17372,1.625,0,0,0
244,iterative,auto,warm,1,,True,0,0,120,0.5,0.2,fixed,1000,100,100,0,1,,7140,101,0.015625,0,0,0
244,iterative,auto,warm,1,,True,0,1,120,0.5,0.2,fixed,1000,1000,1000,75,1,,7140,1026,0.03125,100,75,25
244,iterative,auto,warm,1,,True,0,2,120,0.5,0.2,fixed,1000,1000,1000,68,1,,7140,1958,0.046875,1025,68,957
